Date,Details,Amount,Account,Currency,Debit/Credit,Month,Year,Category,Subcategory,is_manual
2024-01-07,MONTHLY BANK FEES,-686.95,7712045M033,EUR,Debit,1,2024,Financial,Bank Fees,False
2024-01-07,CAF FAMILY BENEFIT,376.01,7712045M033,EUR,Credit,1,2024,Income,CAF,False
2024-01-07,ONLINE TRAINING COURSE,-241.65,7712045M033,EUR,Debit,1,2024,Education,Training,False
2024-01-08,WATER SUPPLY PAYMENT,-205.82,4829137M033,EUR,Debit,1,2024,Housing,Water,False
2024-01-08,SPORT CLUB PAYMENT,-105.49,4829137M033,EUR,Debit,1,2024,Leisure,Sport,False
2024-01-08,WATER SUPPLY PAYMENT,-501.3,4829137M033,EUR,Debit,1,2024,Housing,Water,False
2024-01-08,BOOKSTORE PURCHASE,-787.12,6501882C033,EUR,Debit,1,2024,Leisure,Books,False
2024-01-08,ORANGE INTERNET SUBSCRIPTION,-730.23,6501882C033,EUR,Debit,1,2024,Housing,Internet,False
2024-01-09,BOOKSTORE PURCHASE,-383.48,4829137M033,EUR,Debit,1,2024,Leisure,Books,False
2024-01-09,NETFLIX SUBSCRIPTION,-821.96,6501882C033,EUR,Debit,1,2024,Leisure,Streaming,False
2024-01-09,BOOKSTORE PURCHASE,-100.69,6501882C033,EUR,Debit,1,2024,Leisure,Books,False
2024-01-09,AIRBNB RESERVATION,-431.08,7712045M033,EUR,Debit,1,2024,Leisure,Travel,False
2024-01-09,CONSULTING INCOME,1934.91,7712045M033,EUR,Credit,1,2024,Income,Salary,False
2024-01-10,TRANSFER TO SAVINGS ACCOUNT,-69.74,4829137M033,EUR,Debit,1,2024,Financial,Savings,False
2024-01-10,OFFICE SUPPLIES STORE,-134.11,7712045M033,EUR,Debit,1,2024,Education,School Supplies,False
2024-01-11,HEALTH INSURANCE REFUND,3017.67,6501882C033,EUR,Credit,1,2024,Health,Insurance Refund,False
2024-01-12,BOOKING HOTEL,-567.89,6501882C033,EUR,Debit,1,2024,Leisure,Travel,False
2024-01-13,OFFICE SUPPLIES STORE,-141.4,4829137M033,EUR,Debit,1,2024,Education,School Supplies,False
2024-01-13,ANNUAL BONUS PAYMENT,3632.45,4829137M033,EUR,Credit,1,2024,Income,Bonus,False
2024-01-13,SNCF TRAIN TICKET,-562.05,6501882C033,EUR,Debit,1,2024,Transport,Train,False
2024-01-14,OFFICE SUPPLIES STORE,-635.72,4829137M033,EUR,Debit,1,2024,Education,School Supplies,False
2024-01-14,EDF ELECTRICITY BILL,-673.89,4829137M033,EUR,Debit,1,2024,Housing,Electricity,False
2024-01-14,BOOKSTORE PURCHASE,-97.48,4829137M033,EUR,Debit,1,2024,Leisure,Books,False
2024-01-14,LOCAL BAKERY,-94.82,6501882C033,EUR,Debit,1,2024,Food,Bakery,False
2024-01-14,APARTMENT RENT,-303.09,7712045M033,EUR,Debit,1,2024,Housing,Rent,False
2024-01-14,HIGHWAY TOLL,-527.62,7712045M033,EUR,Debit,1,2024,Transport,Toll,False
2024-01-14,DOCTOR APPOINTMENT,-470.27,7712045M033,EUR,Debit,1,2024,Health,Doctor,False
2024-01-15,ORANGE INTERNET SUBSCRIPTION,-507.72,4829137M033,EUR,Debit,1,2024,Housing,Internet,False
2024-01-15,HOME DECOR SHOP,-396.84,6501882C033,EUR,Debit,1,2024,Shopping,Home Decor,False
2024-01-15,MONTHLY BANK FEES,-158.41,7712045M033,EUR,Debit,1,2024,Financial,Bank Fees,False
2024-01-16,MONTHLY SALARY,790.08,7712045M033,EUR,Credit,1,2024,Income,Salary,False
2024-01-17,SPOTIFY PREMIUM,-516.46,6501882C033,EUR,Debit,1,2024,Leisure,Streaming,False
2024-01-18,ONLINE TRAINING COURSE,-561.81,4829137M033,EUR,Debit,1,2024,Education,Training,False
2024-01-18,LOCAL BAKERY,-819.82,4829137M033,EUR,Debit,1,2024,Food,Bakery,False
2024-01-18,CINEMA TICKET,-165.28,7712045M033,EUR,Debit,1,2024,Leisure,Cinema,False
2024-01-18,ONLINE TRAINING COURSE,-555.37,7712045M033,EUR,Debit,1,2024,Education,Training,False
2024-01-19,DOCTOR APPOINTMENT,-776.43,4829137M033,EUR,Debit,1,2024,Health,Doctor,False
2024-01-19,CITY PARKING,-800.53,7712045M033,EUR,Debit,1,2024,Transport,Parking,False
2024-01-20,MONTHLY SALARY,1085.34,4829137M033,EUR,Credit,1,2024,Income,Salary,False
2024-01-21,AIRBNB RESERVATION,-338.1,4829137M033,EUR,Debit,1,2024,Leisure,Travel,False
2024-01-21,CITY METRO PASS,-845.89,4829137M033,EUR,Debit,1,2024,Transport,Metro,False
2024-01-21,PAYROLL TRANSFER,3481.48,7712045M033,EUR,Credit,1,2024,Income,Salary,False
2024-01-22,AIRBNB RESERVATION,-303.91,4829137M033,EUR,Debit,1,2024,Leisure,Travel,False
2024-01-22,AIRBNB RESERVATION,-338.23,7712045M033,EUR,Debit,1,2024,Leisure,Travel,False
2024-01-23,TAX REFUND,3236.29,4829137M033,EUR,Credit,1,2024,Income,Tax Refund,False
2024-01-23,ORANGE INTERNET SUBSCRIPTION,-218.75,6501882C033,EUR,Debit,1,2024,Housing,Internet,False
2024-01-23,BOOKSTORE PURCHASE,-176.01,7712045M033,EUR,Debit,1,2024,Leisure,Books,False
2024-01-23,ONLINE TRAINING COURSE,-66.73,7712045M033,EUR,Debit,1,2024,Education,Training,False
2024-01-24,SPOTIFY PREMIUM,-686.64,4829137M033,EUR,Debit,1,2024,Leisure,Streaming,False
2024-01-24,MONTHLY BANK FEES,-121.27,4829137M033,EUR,Debit,1,2024,Financial,Bank Fees,False
2024-01-24,COFFEE SHOP,-810.88,4829137M033,EUR,Debit,1,2024,Food,Coffee,False
2024-01-24,BURGER RESTAURANT,-23.99,6501882C033,EUR,Debit,1,2024,Food,Restaurant,False
2024-01-24,TRANSFER TO SAVINGS ACCOUNT,-54.34,7712045M033,EUR,Debit,1,2024,Financial,Savings,False
2024-01-24,INSTANT BANK TRANSFER,-593.01,7712045M033,EUR,Debit,1,2024,Financial,Transfer,False
2024-01-24,LOCAL BAKERY,-756.59,7712045M033,EUR,Debit,1,2024,Food,Bakery,False
2024-01-25,HEALTH INSURANCE REFUND,730.13,4829137M033,EUR,Credit,1,2024,Health,Insurance Refund,False
2024-01-25,APARTMENT RENT,-694.17,4829137M033,EUR,Debit,1,2024,Housing,Rent,False
2024-01-26,SPORT CLUB PAYMENT,-228.98,6501882C033,EUR,Debit,1,2024,Leisure,Sport,False
2024-01-26,CITY PARKING,-261.5,6501882C033,EUR,Debit,1,2024,Transport,Parking,False
2024-01-26,HIGHWAY TOLL,-675.29,6501882C033,EUR,Debit,1,2024,Transport,Toll,False
2024-01-26,CLOTHING STORE,-227.63,7712045M033,EUR,Debit,1,2024,Shopping,Clothes,False
2024-01-26,OFFICE SUPPLIES STORE,-521.09,7712045M033,EUR,Debit,1,2024,Education,School Supplies,False
2024-01-26,DECATHLON PURCHASE,-264.09,7712045M033,EUR,Debit,1,2024,Shopping,Clothes,False
2024-01-27,ORANGE INTERNET SUBSCRIPTION,-387.04,4829137M033,EUR,Debit,1,2024,Housing,Internet,False
2024-01-27,HEALTH INSURANCE REFUND,3096.53,4829137M033,EUR,Credit,1,2024,Health,Insurance Refund,False
2024-01-27,BOOKSTORE PURCHASE,-578.55,6501882C033,EUR,Debit,1,2024,Leisure,Books,False
2024-01-27,CITY METRO PASS,-136.61,7712045M033,EUR,Debit,1,2024,Transport,Metro,False
2024-01-28,CITY METRO PASS,-727.45,4829137M033,EUR,Debit,1,2024,Transport,Metro,False
2024-01-28,BOOKSTORE PURCHASE,-643.15,4829137M033,EUR,Debit,1,2024,Leisure,Books,False
2024-01-28,TOTAL ENERGIES FUEL,-687.39,7712045M033,EUR,Debit,1,2024,Transport,Fuel,False
2024-01-28,TAX REFUND,2287.68,7712045M033,EUR,Credit,1,2024,Income,Tax Refund,False
2024-01-28,INTERMARCHE,-60.56,7712045M033,EUR,Debit,1,2024,Food,Groceries,False
2024-02-01,HOME DECOR SHOP,-514.35,6501882C033,EUR,Debit,2,2024,Shopping,Home Decor,False
2024-02-02,BOOKSTORE PURCHASE,-71.13,6501882C033,EUR,Debit,2,2024,Leisure,Books,False
2024-02-02,TAX REFUND,1270.69,7712045M033,EUR,Credit,2,2024,Income,Tax Refund,False
2024-02-02,PUBLIC FINANCE PAYMENT,-159.16,7712045M033,EUR,Debit,2,2024,Financial,Taxes,False
2024-02-03,HOME DECOR SHOP,-601.34,4829137M033,EUR,Debit,2,2024,Shopping,Home Decor,False
2024-02-03,LOCAL PHARMACY,-706.63,4829137M033,EUR,Debit,2,2024,Health,Pharmacy,False
2024-02-03,EDF ELECTRICITY BILL,-227.16,7712045M033,EUR,Debit,2,2024,Housing,Electricity,False
2024-02-04,SPORT CLUB PAYMENT,-274.94,6501882C033,EUR,Debit,2,2024,Leisure,Sport,False
2024-02-04,DECATHLON PURCHASE,-843.44,6501882C033,EUR,Debit,2,2024,Shopping,Clothes,False
2024-02-05,CITY PARKING,-341.51,4829137M033,EUR,Debit,2,2024,Transport,Parking,False
2024-02-05,HOME DECOR SHOP,-714.91,4829137M033,EUR,Debit,2,2024,Shopping,Home Decor,False
2024-02-06,BOOKING HOTEL,-661.79,4829137M033,EUR,Debit,2,2024,Leisure,Travel,False
2024-02-06,LOCAL BAKERY,-63.48,6501882C033,EUR,Debit,2,2024,Food,Bakery,False
2024-02-06,HEALTH INSURANCE REFUND,3445.84,6501882C033,EUR,Credit,2,2024,Health,Insurance Refund,False
2024-02-06,ITALIAN RESTAURANT,-470.54,7712045M033,EUR,Debit,2,2024,Food,Restaurant,False
2024-02-07,ONLINE TRAINING COURSE,-353.02,6501882C033,EUR,Debit,2,2024,Education,Training,False
2024-02-08,CINEMA TICKET,-572.86,4829137M033,EUR,Debit,2,2024,Leisure,Cinema,False
2024-02-08,BOOKSTORE PURCHASE,-120.2,4829137M033,EUR,Debit,2,2024,Leisure,Books,False
2024-02-08,TOTAL ENERGIES FUEL,-641.84,4829137M033,EUR,Debit,2,2024,Transport,Fuel,False
2024-02-09,HEALTH INSURANCE REFUND,2839.03,4829137M033,EUR,Credit,2,2024,Health,Insurance Refund,False
2024-02-09,OFFICE SUPPLIES STORE,-416.53,4829137M033,EUR,Debit,2,2024,Education,School Supplies,False
2024-02-09,HOME INSURANCE PAYMENT,-396.88,4829137M033,EUR,Debit,2,2024,Housing,Insurance,False
2024-02-09,HIGHWAY TOLL,-734.83,6501882C033,EUR,Debit,2,2024,Transport,Toll,False
2024-02-09,ITALIAN RESTAURANT,-628.6,7712045M033,EUR,Debit,2,2024,Food,Restaurant,False
2024-02-10,LOCAL BAKERY,-590.54,6501882C033,EUR,Debit,2,2024,Food,Bakery,False
2024-02-10,ANNUAL BONUS PAYMENT,2494.03,6501882C033,EUR,Credit,2,2024,Income,Bonus,False
2024-02-10,ELECTRONICS STORE,-698.01,6501882C033,EUR,Debit,2,2024,Shopping,Electronics,False
2024-02-10,CITY METRO PASS,-308.67,7712045M033,EUR,Debit,2,2024,Transport,Metro,False
2024-02-11,TRANSFER TO SAVINGS ACCOUNT,-201.62,4829137M033,EUR,Debit,2,2024,Financial,Savings,False
2024-02-11,MONTHLY BANK FEES,-223.35,4829137M033,EUR,Debit,2,2024,Financial,Bank Fees,False
2024-02-11,ELECTRONICS STORE,-421.68,4829137M033,EUR,Debit,2,2024,Shopping,Electronics,False
2024-02-11,HOME DECOR SHOP,-388.24,6501882C033,EUR,Debit,2,2024,Shopping,Home Decor,False
2024-02-11,MONTHLY BANK FEES,-678.76,7712045M033,EUR,Debit,2,2024,Financial,Bank Fees,False
2024-02-12,TAX REFUND,2172.56,4829137M033,EUR,Credit,2,2024,Income,Tax Refund,False
2024-02-12,TAX REFUND,4499.59,4829137M033,EUR,Credit,2,2024,Income,Tax Refund,False
2024-02-13,CITY PARKING,-288.86,4829137M033,EUR,Debit,2,2024,Transport,Parking,False
2024-02-13,LOCAL PHARMACY,-824.75,6501882C033,EUR,Debit,2,2024,Health,Pharmacy,False
2024-02-13,MONTHLY BANK FEES,-469.92,6501882C033,EUR,Debit,2,2024,Financial,Bank Fees,False
2024-02-13,TRANSFER TO SAVINGS ACCOUNT,-252.22,7712045M033,EUR,Debit,2,2024,Financial,Savings,False
2024-02-13,LOCAL PHARMACY,-699.33,7712045M033,EUR,Debit,2,2024,Health,Pharmacy,False
2024-02-13,HOME DECOR SHOP,-660.01,7712045M033,EUR,Debit,2,2024,Shopping,Home Decor,False
2024-02-14,ELECTRONICS STORE,-462.59,4829137M033,EUR,Debit,2,2024,Shopping,Electronics,False
2024-02-14,HOME INSURANCE PAYMENT,-297.08,4829137M033,EUR,Debit,2,2024,Housing,Insurance,False
2024-02-14,CINEMA TICKET,-13.72,4829137M033,EUR,Debit,2,2024,Leisure,Cinema,False
2024-02-14,PUBLIC FINANCE PAYMENT,-731.56,7712045M033,EUR,Debit,2,2024,Financial,Taxes,False
2024-02-15,OFFICE SUPPLIES STORE,-807.68,4829137M033,EUR,Debit,2,2024,Education,School Supplies,False
2024-02-15,HEALTH INSURANCE REFUND,2004.23,6501882C033,EUR,Credit,2,2024,Health,Insurance Refund,False
2024-02-15,HEALTH INSURANCE REFUND,3900.41,6501882C033,EUR,Credit,2,2024,Health,Insurance Refund,False
2024-02-15,SPORT CLUB PAYMENT,-300.98,7712045M033,EUR,Debit,2,2024,Leisure,Sport,False
2024-02-16,SNCF TRAIN TICKET,-42.14,4829137M033,EUR,Debit,2,2024,Transport,Train,False
2024-02-16,LOCAL PHARMACY,-710.17,4829137M033,EUR,Debit,2,2024,Health,Pharmacy,False
2024-02-16,TOTAL ENERGIES FUEL,-205.05,4829137M033,EUR,Debit,2,2024,Transport,Fuel,False
2024-02-16,HOME DECOR SHOP,-823.79,6501882C033,EUR,Debit,2,2024,Shopping,Home Decor,False
2024-02-16,HEALTH INSURANCE REFUND,1898.93,6501882C033,EUR,Credit,2,2024,Health,Insurance Refund,False
2024-02-16,TOTAL ENERGIES FUEL,-612.9,7712045M033,EUR,Debit,2,2024,Transport,Fuel,False
2024-02-16,ONLINE TRAINING COURSE,-550.08,7712045M033,EUR,Debit,2,2024,Education,Training,False
2024-02-16,TRANSFER TO SAVINGS ACCOUNT,-489.23,7712045M033,EUR,Debit,2,2024,Financial,Savings,False
2024-02-16,CAF FAMILY BENEFIT,3117.7,7712045M033,EUR,Credit,2,2024,Income,CAF,False
2024-02-17,MONTHLY BANK FEES,-152.19,4829137M033,EUR,Debit,2,2024,Financial,Bank Fees,False
2024-02-17,HEALTH INSURANCE REFUND,4244.91,6501882C033,EUR,Credit,2,2024,Health,Insurance Refund,False
2024-02-17,HEALTH INSURANCE REFUND,2523.27,7712045M033,EUR,Credit,2,2024,Health,Insurance Refund,False
2024-02-17,CITY METRO PASS,-403.85,7712045M033,EUR,Debit,2,2024,Transport,Metro,False
2024-02-18,SNCF TRAIN TICKET,-469.56,6501882C033,EUR,Debit,2,2024,Transport,Train,False
2024-02-19,ORANGE INTERNET SUBSCRIPTION,-753.56,4829137M033,EUR,Debit,2,2024,Housing,Internet,False
2024-02-19,DOCTOR APPOINTMENT,-789.77,4829137M033,EUR,Debit,2,2024,Health,Doctor,False
2024-02-19,LOCAL PHARMACY,-638.65,4829137M033,EUR,Debit,2,2024,Health,Pharmacy,False
2024-02-19,PUBLIC FINANCE PAYMENT,-156.72,6501882C033,EUR,Debit,2,2024,Financial,Taxes,False
2024-02-20,TOTAL ENERGIES FUEL,-723.2,4829137M033,EUR,Debit,2,2024,Transport,Fuel,False
2024-02-21,AUCHAN SUPERMARKET,-439.59,4829137M033,EUR,Debit,2,2024,Food,Groceries,False
2024-02-21,TRANSFER TO SAVINGS ACCOUNT,-816.79,4829137M033,EUR,Debit,2,2024,Financial,Savings,False
2024-02-21,CITY PARKING,-464.24,6501882C033,EUR,Debit,2,2024,Transport,Parking,False
2024-02-21,PUBLIC FINANCE PAYMENT,-27.45,6501882C033,EUR,Debit,2,2024,Financial,Taxes,False
2024-02-22,ORANGE INTERNET SUBSCRIPTION,-681.8,4829137M033,EUR,Debit,2,2024,Housing,Internet,False
2024-02-22,ELECTRONICS STORE,-332.36,4829137M033,EUR,Debit,2,2024,Shopping,Electronics,False
2024-02-22,ONLINE TRAINING COURSE,-504.33,4829137M033,EUR,Debit,2,2024,Education,Training,False
2024-02-22,EDF ELECTRICITY BILL,-849.64,6501882C033,EUR,Debit,2,2024,Housing,Electricity,False
2024-02-23,ELECTRONICS STORE,-67.37,4829137M033,EUR,Debit,2,2024,Shopping,Electronics,False
2024-02-23,ANNUAL BONUS PAYMENT,3195.95,6501882C033,EUR,Credit,2,2024,Income,Bonus,False
2024-02-23,TRANSFER TO SAVINGS ACCOUNT,-425.12,6501882C033,EUR,Debit,2,2024,Financial,Savings,False
2024-02-24,BOOKSTORE PURCHASE,-762.94,4829137M033,EUR,Debit,2,2024,Leisure,Books,False
2024-02-24,LOCAL PHARMACY,-458.87,4829137M033,EUR,Debit,2,2024,Health,Pharmacy,False
2024-02-24,LOCAL PHARMACY,-198.27,7712045M033,EUR,Debit,2,2024,Health,Pharmacy,False
2024-02-24,HEALTH INSURANCE REFUND,2762.86,7712045M033,EUR,Credit,2,2024,Health,Insurance Refund,False
2024-02-25,ANNUAL BONUS PAYMENT,1783.17,4829137M033,EUR,Credit,2,2024,Income,Bonus,False
2024-02-25,BOOKSTORE PURCHASE,-532.72,6501882C033,EUR,Debit,2,2024,Leisure,Books,False
2024-02-25,BOOKSTORE PURCHASE,-284.58,6501882C033,EUR,Debit,2,2024,Leisure,Books,False
2024-02-25,CITY METRO PASS,-632.22,7712045M033,EUR,Debit,2,2024,Transport,Metro,False
2024-02-25,BOOKSTORE PURCHASE,-543.28,7712045M033,EUR,Debit,2,2024,Leisure,Books,False
2024-02-25,DOCTOR APPOINTMENT,-103.33,7712045M033,EUR,Debit,2,2024,Health,Doctor,False
2024-02-26,PAYROLL TRANSFER,1023.84,4829137M033,EUR,Credit,2,2024,Income,Salary,False
2024-02-26,TRANSFER TO SAVINGS ACCOUNT,-785.55,6501882C033,EUR,Debit,2,2024,Financial,Savings,False
2024-02-26,TRANSFER TO SAVINGS ACCOUNT,-131.51,7712045M033,EUR,Debit,2,2024,Financial,Savings,False
2024-02-27,PUBLIC FINANCE PAYMENT,-639.75,4829137M033,EUR,Debit,2,2024,Financial,Taxes,False
2024-02-27,HEALTH INSURANCE REFUND,2118.69,4829137M033,EUR,Credit,2,2024,Health,Insurance Refund,False
2024-02-27,OFFICE SUPPLIES STORE,-833.49,7712045M033,EUR,Debit,2,2024,Education,School Supplies,False
2024-02-28,BOOKSTORE PURCHASE,-475.12,4829137M033,EUR,Debit,2,2024,Leisure,Books,False
2024-02-28,CONSULTING INCOME,1957.33,4829137M033,EUR,Credit,2,2024,Income,Salary,False
2024-03-01,ORANGE INTERNET SUBSCRIPTION,-590.82,4829137M033,EUR,Debit,3,2024,Housing,Internet,False
2024-03-01,LOCAL BAKERY,-280.92,6501882C033,EUR,Debit,3,2024,Food,Bakery,False
2024-03-01,DOCTOR APPOINTMENT,-562.92,7712045M033,EUR,Debit,3,2024,Health,Doctor,False
2024-03-01,TAX REFUND,2088.29,7712045M033,EUR,Credit,3,2024,Income,Tax Refund,False
2024-03-02,ELECTRONICS STORE,-422.54,4829137M033,EUR,Debit,3,2024,Shopping,Electronics,False
2024-03-02,HEALTH INSURANCE REFUND,569.21,7712045M033,EUR,Credit,3,2024,Health,Insurance Refund,False
2024-03-03,CAF FAMILY BENEFIT,2095.91,6501882C033,EUR,Credit,3,2024,Income,CAF,False
2024-03-04,DOCTOR APPOINTMENT,-370.57,4829137M033,EUR,Debit,3,2024,Health,Doctor,False
2024-03-04,DOCTOR APPOINTMENT,-725.78,4829137M033,EUR,Debit,3,2024,Health,Doctor,False
2024-03-04,BOOKING HOTEL,-435.38,6501882C033,EUR,Debit,3,2024,Leisure,Travel,False
2024-03-04,CINEMA TICKET,-236.67,7712045M033,EUR,Debit,3,2024,Leisure,Cinema,False
2024-03-04,CAF FAMILY BENEFIT,1946.92,7712045M033,EUR,Credit,3,2024,Income,CAF,False
2024-03-05,HOME INSURANCE PAYMENT,-16.0,4829137M033,EUR,Debit,3,2024,Housing,Insurance,False
2024-03-05,BOOKSTORE PURCHASE,-751.19,6501882C033,EUR,Debit,3,2024,Leisure,Books,False
2024-03-05,PAYROLL TRANSFER,1133.88,7712045M033,EUR,Credit,3,2024,Income,Salary,False
2024-03-05,CINEMA TICKET,-227.77,7712045M033,EUR,Debit,3,2024,Leisure,Cinema,False
2024-03-07,HIGHWAY TOLL,-188.5,4829137M033,EUR,Debit,3,2024,Transport,Toll,False
2024-03-07,ELECTRONICS STORE,-353.81,6501882C033,EUR,Debit,3,2024,Shopping,Electronics,False
2024-03-07,MONTHLY SALARY,1391.32,6501882C033,EUR,Credit,3,2024,Income,Salary,False
2024-03-07,LOCAL PHARMACY,-492.5,7712045M033,EUR,Debit,3,2024,Health,Pharmacy,False
2024-03-08,ORANGE INTERNET SUBSCRIPTION,-634.7,6501882C033,EUR,Debit,3,2024,Housing,Internet,False
2024-03-08,FREELANCE PROJECT PAYMENT,566.74,7712045M033,EUR,Credit,3,2024,Income,Freelance,False
2024-03-08,FREELANCE PROJECT PAYMENT,2023.05,7712045M033,EUR,Credit,3,2024,Income,Freelance,False
2024-03-08,AUCHAN SUPERMARKET,-672.12,7712045M033,EUR,Debit,3,2024,Food,Groceries,False
2024-03-08,INSTANT BANK TRANSFER,-385.85,7712045M033,EUR,Debit,3,2024,Financial,Transfer,False
2024-03-08,OFFICE SUPPLIES STORE,-367.27,7712045M033,EUR,Debit,3,2024,Education,School Supplies,False
2024-03-09,OFFICE SUPPLIES STORE,-706.41,4829137M033,EUR,Debit,3,2024,Education,School Supplies,False
2024-03-09,ORANGE INTERNET SUBSCRIPTION,-798.38,7712045M033,EUR,Debit,3,2024,Housing,Internet,False
2024-03-09,WATER SUPPLY PAYMENT,-267.71,7712045M033,EUR,Debit,3,2024,Housing,Water,False
2024-03-10,TAX REFUND,3756.13,4829137M033,EUR,Credit,3,2024,Income,Tax Refund,False
2024-03-10,ELECTRONICS STORE,-136.33,6501882C033,EUR,Debit,3,2024,Shopping,Electronics,False
2024-03-10,ONLINE TRAINING COURSE,-367.14,6501882C033,EUR,Debit,3,2024,Education,Training,False
2024-03-11,ELECTRONICS STORE,-346.06,6501882C033,EUR,Debit,3,2024,Shopping,Electronics,False
2024-03-11,PUBLIC FINANCE PAYMENT,-764.68,7712045M033,EUR,Debit,3,2024,Financial,Taxes,False
2024-03-12,FREELANCE PROJECT PAYMENT,1355.49,4829137M033,EUR,Credit,3,2024,Income,Freelance,False
2024-03-12,HEALTH INSURANCE REFUND,378.69,4829137M033,EUR,Credit,3,2024,Health,Insurance Refund,False
2024-03-12,FREELANCE PROJECT PAYMENT,198.47,4829137M033,EUR,Credit,3,2024,Income,Freelance,False
2024-03-12,ITALIAN RESTAURANT,-669.18,4829137M033,EUR,Debit,3,2024,Food,Restaurant,False
2024-03-12,HEALTH INSURANCE REFUND,3709.76,4829137M033,EUR,Credit,3,2024,Health,Insurance Refund,False
2024-03-13,HOME DECOR SHOP,-79.49,4829137M033,EUR,Debit,3,2024,Shopping,Home Decor,False
2024-03-13,CONSULTING INCOME,2410.65,6501882C033,EUR,Credit,3,2024,Income,Salary,False
2024-03-14,AUCHAN SUPERMARKET,-279.73,4829137M033,EUR,Debit,3,2024,Food,Groceries,False
2024-03-14,BOOKSTORE PURCHASE,-431.2,7712045M033,EUR,Debit,3,2024,Leisure,Books,False
2024-03-15,LOCAL BAKERY,-743.44,4829137M033,EUR,Debit,3,2024,Food,Bakery,False
2024-03-15,BURGER RESTAURANT,-543.31,4829137M033,EUR,Debit,3,2024,Food,Restaurant,False
2024-03-15,HEALTH INSURANCE REFUND,4050.14,4829137M033,EUR,Credit,3,2024,Health,Insurance Refund,False
2024-03-15,HEALTH INSURANCE REFUND,3121.9,4829137M033,EUR,Credit,3,2024,Health,Insurance Refund,False
2024-03-15,INSTANT BANK TRANSFER,-684.18,4829137M033,EUR,Debit,3,2024,Financial,Transfer,False
2024-03-15,INTERMARCHE,-72.1,6501882C033,EUR,Debit,3,2024,Food,Groceries,False
2024-03-16,HOME DECOR SHOP,-634.58,7712045M033,EUR,Debit,3,2024,Shopping,Home Decor,False
2024-03-17,EDF ELECTRICITY BILL,-501.77,6501882C033,EUR,Debit,3,2024,Housing,Electricity,False
